
j' [ʒ]
affreusement [afʁøzmâ]
affreux [afʁø]
affront [afʁô]
affrontement [afʁôtmâ]
affronter [afʁôte]
affubler [afyble]
affût [afy]
afghan [afɡâ]
Afghanistan [afɡanistâ]
afin [afê]
africain [afʁikê]
africanisation [afʁikanizasjô]
africanisme [afʁikanism]
africaniste [afʁikanist]
Afrique [afʁik]
afro [afʁo]
agaçant [aɡasâ]
agace [aɡas]
agacement [aɡasmâ]
agacer [aɡase]
Agamemnon [aɡamɛmnô]
agaric [aɡaʁik]
agate [aɡat]
Agatha [aɡata]
Agathe [aɡat]
agave [aɡav]
Agde [aɡd]
age [aʒ]
âge [aʒ]
âgé [aʒe]
Agen [aʒê]
agence [aʒâs]
agencement [aʒâsmâ]
agencer [aʒâse]
agenda [aʒêda]
agender [aʒâde]
agenouillé [aʒnuje]
agenouiller [aʒnuje]
agent [aʒâ]
Aggée [aʒe]
aggiornamento [aʒjɔʁnamɛnto,adʒjɔʁnamɛnto]
agglomérat [aɡlɔmeʁa]
agglomération [aɡlɔmeʁasjô]
aggloméré [aɡlɔmeʁe]
agglomérer [aɡlɔmeʁe]
agglutination [aɡlytinasjô]
agglutiner [aɡlytine]
aggravant [aɡʁavâ]
aggravation [aɡʁavasjô]
aggraver [aɡʁave]
agha [aɡa]
agile [aʒil]
agilité [aʒilite]
agio [aʒjo]
agiotage [aʒjɔtaʒ]
agioteur [aʒjɔtœʁ]
agir [aʒiʁ]
agissant [aʒisâ]
agissement [aʒismâ]
agitant [aʒitâ]
agitateur [aʒitatœʁ]
agitation [aʒitasjô]
agité [aʒite]
agiter [aʒite]
Aglaé [aɡlae]
agnatique [aɡnatik]
agneau [aɲo]
Agnès [aɲɛs]
agnosie [aɡnozi]
agnosticisme [aɡnɔstisism]
agnostique [aɡnɔstik]
agonie [aɡɔni]
agonir [aɡɔniʁ]
agonisant [aɡɔnizâ]
agora [aɡɔʁa]
agrafe [aɡʁaf]
agraire [aɡʁɛʁ]
agrandir [aɡʁâdiʁ]
agrandissant [aɡʁâdisâ]
agrandissement [aɡʁâdismâ]
agrarien [aɡʁaʁjê]
agréable [aɡʁeabl]
agréablement [aɡʁeabləmâ]
agréation [aɡʁeasjô]
agréer [aɡʁee]
agrégat [aɡʁeɡa]
agrégation [aɡʁeɡasjô]
agrégé [aɡʁeʒe]
