
j' [ʒ]
originellement [ɔʁiʒinɛlmâ]
originel [ɔʁiʒinɛl]
origine [ɔʁiʒin]
originer [ɔʁiʒine]
oripeau [ɔʁipo]
orléaniste [ɔʁleanist]
orme [ɔʁm]
ornemental [ɔʁnəmâtal]
ornementation [ɔʁnəmâtasjô]
ornement [ɔʁnəmâ]
orner [ɔʁne]
ornière [ɔʁnjɛʁ]
or [ɔʁ]
orphelinat [ɔʁfəlina]
orphelin [ɔʁfəlê]
orteil [ɔʁtɛj]
orthodoxe [ɔʁtɔdɔks]
orthodoxie [ɔʁtɔdɔksi]
orthographe [ɔʁtɔɡʁaf]
orthographique [ɔʁtɔɡʁafik]
orthopédique [ɔʁtɔpedik]
ortie [ɔʁti]
oscillant [ɔsijâ,ɔsilâ]
oscillateur [ɔsijatœʁ,ɔsilatœʁ]
oscillation [ɔsijasjô,ɔsilasjô]
osciller [ɔsije,ɔsile]
ose [oz]
oser [oze]
osier [ozje]
osmose [ɔsmoz]
osmotique [ɔsmɔtik]
os [ɔs/o/os]
ossature [ɔsatyʁ]
osselet [ɔslɛ]
ossement [ɔsmâ]
osseux [ɔsø]
ossification [ɔsifikasjô]
ostéite [ɔsteit]
ostensiblement [ɔstâsibləmâ]
ostensible [ɔstâsibl]
ostentation [ɔstâtasjô]
ostentatoire [ɔstâtatwaʁ]
ostéotomie [ɔsteotɔmi]
ost [ɔst]
ostracisme [ɔstʁasism]
otage [ɔtaʒ]
ôter [ote]
ottoman [ɔtɔmâ]
ouaille [waj]
oublier [ublije]
oublie [ubli]
oublié [ublije]
oublieux [ublijø]
oubli [ubli]
oued [wɛd]
ouest [wɛst]
ouïr [wiʁ]
oui [wi]
ouragan [uʁaɡâ]
ours [uʁs]
outillage [utijaʒ]
outil [uti]
output [autput]
outrager [utʁaʒe]
outrageusement [utʁaʒøzmâ]
outrage [utʁaʒ]
outragé [utʁaʒe]
outrance [utʁâs]
outrecuidance [utʁəkɥidâs]
outremer [utʁəmɛʁ]
outrepasser [utʁəpase]
outrer [utʁe]
outre [utʁ]
ou [u]
où [u]
ouvertement [uvɛʁtəmâ]
ouverture [uvɛʁtyʁ]
ouvrager [uvʁaʒe]
ouvrage [uvʁaʒ]
ouvrant [uvʁâ]
ouvrer [uvʁe]
ouvrier [uvʁije]
ouvrir [uvʁiʁ]
ovaire [ɔvɛʁ]
ovalaire [ɔvalɛʁ]
ovale [ɔval]
ovation [ɔvasjô]
ovoïde [ɔvɔid]
ovulation [ɔvylasjô]
ovule [ɔvyl]
ovuler [ɔvyle]
oxalate [ɔksalat]
oxalique [ɔksalik]
oxydation [ɔksidasjô]
oxyde [ɔksid]
oxyder [ɔkside]
oxygène [ɔksiʒɛn]
oxygéner [ɔksiʒene]
ozone [ɔzɔn]
pacha [paʃa]
pacificateur [pasifikatœʁ]
pacification [pasifikasjô]
pacifier [pasifje]
pacifiquement [pasifikmâ]
pacifique [pasifik]
pacifisme [pasifism]
pacifiste [pasifist]
pacotille [pakɔtij]
pacte [pakt]
paddy [padi]
paganisme [paɡanism]
page [paʒ]
pager [paʒe]
pagination [paʒinasjô]
pagne [paɲ]
pagode [paɡɔd]
paiement [pɛmâ]
païen [pajê]
paie [pɛ]
paille [paj]
pailler [paje]
pailleter [pajte]
paillette [pajɛt]
pain [pê]
pairie [peʁi]
pair [pɛʁ]
paisiblement [pezibləmâ]
paisible [pezibl]
paître [pɛtʁ]
paix [pɛ]
palais [palɛ]
palatin [palatê]
paléolithique [paleɔlitik]
paléontologie [paleôtɔlɔʒi]
pale [pal]
pâle [pal]
palestinien [palɛstinjê]
palette [palɛt]
paletter [palete]
pâleur [palœʁ]
palier [palje]
pâlir [paliʁ]
palissade [palisad]
palissader [palisade]
palladium [paladjɔm]
palliatif [paljatif]
pallier [palje]
palmaire [palmɛʁ]
palmarès [palmaʁɛs]
palme [palm]
palmeraie [palməʁɛ]
palmer [palme]
palmier [palmje]
palpable [palpabl]
pal [pal]
palpation [palpasjô]
palper [palpe]
palpitation [palpitasjô]
palpiter [palpite]
paludisme [palydism]
pamphlétaire [pâfletɛʁ]
pamphlet [pâflɛ]
panacée [panase]
panache [panaʃ]
pancarte [pâkaʁt]
pancréas [pâkʁeas]
pancréatique [pâkʁeatik]
panégyrique [paneʒiʁik]
panégyriste [paneʒiʁist]
panel [panɛl]
panier [panje]
panique [panik]
paniquer [panike]
panneau [pano]
panne [pan]
panoplie [panɔpli]
panorama [panɔʁama]
pan [pâ]
pansement [pâsmâ]
panse [pâs]
panser [pâse]
pantalon [pâtalô]
panthéisme [pâteism]
panthéiste [pâteist]
panthéon [pâteô]
panthère [pâtɛʁ]
pantomime [pâtɔmim]
paon [pâ]
papal [papal]
papa [papa]
papauté [papote]
pape [pap]
papeterie [papɛtʁi]
papier [papje]
papille [papij]
papillon [papijô]
papisme [papism]
papiste [papist]
papyrus [papiʁys]
paquebot [pakbo]
paquet [pakɛ]
parabole [paʁabɔl]
parabolique [paʁabɔlik]
parachever [paʁaʃve]
parachutage [paʁaʃytaʒ]
parachutiste [paʁaʃytist]
parade [paʁad]
parader [paʁade]
paradigmatique [paʁadiɡmatik]
paradigme [paʁadiɡm]
paradisiaque [paʁadizjak]
paradis [paʁadi]
paradoxalement [paʁadɔksalmâ]
paradoxal [paʁadɔksal]
paradoxe [paʁadɔks]
parage [paʁaʒ]
paragraphe [paʁaɡʁaf]
paraître [paʁɛtʁ]
parallaxe [paʁalaks]
parallèlement [paʁalɛlmâ]
parallèle [paʁalɛl]
parallélisme [paʁalelism]
parallélogramme [paʁalelɔɡʁam]
paralysé [paʁalize]
paralyser [paʁalize]
paralysie [paʁalizi]
paralytique [paʁalitik]
paramètre [paʁamɛtʁ]
paramétrer [paʁametʁe]
paranoïaque [paʁanɔjak]
parapet [paʁapɛ]
parapher [paʁafe]
paraphrase [paʁafʁaz]
paraphraser [paʁafʁaze]
paraplégie [paʁapleʒi]
parapluie [paʁaplɥi]
parasitaire [paʁazitɛʁ]
parasite [paʁazit]
parasiter [paʁazite]
parasitisme [paʁazitism]
parasol [paʁasɔl]
paratonnerre [paʁatɔnɛʁ]
paravent [paʁavâ]
parcellaire [paʁselɛʁ]
parcelle [paʁsɛl]
parceller [paʁsele]
parce [paʁsə]
parchemin [paʁʃəmê]
parcimonie [paʁsimɔni]
parcourir [paʁkuʁiʁ]
parcours [paʁkuʁ]
parc [paʁk]
pardessus [paʁdəsy]
pardonner [paʁdɔne]
pardon [paʁdô]
pareillement [paʁɛjmâ]
pareil [paʁɛj]
parement [paʁmâ]
parenchyme [paʁâʃim]
parental [paʁâtal]
parenté [paʁâte]
parenthèse [paʁâtɛz]
parent [paʁâ]
parer [paʁe]
paresse [paʁɛs]
paresser [paʁese]
paresseux [paʁesø]
parfaire [paʁfɛʁ]
parfaitement [paʁfɛtmâ]
parfait [paʁfɛ]
parfois [paʁfwa]
parfumerie [paʁfymʁi]
parfumer [paʁfyme]
parfum [paʁfê]
parier [paʁje]
pariétal [paʁjetal]
pari [paʁi]
parisien [paʁizjê]
parisis [paʁizi]
paritaire [paʁitɛʁ]
parité [paʁite]
parjure [paʁʒyʁ]
parking [paʁkiŋ]
parlant [paʁlâ]
parlementaire [paʁləmâtɛʁ]
parlementarisme [paʁləmâtaʁism]
parlementer [paʁləmâte]
parlement [paʁləmâ]
parler [paʁle]
parleur [paʁlœʁ]
parloir [paʁlwaʁ]
parmi [paʁmi]
parodie [paʁɔdi]
parodier [paʁɔdje]
parodique [paʁɔdik]
paroi [paʁwa]
paroisse [paʁwas]
paroissial [paʁwasjal]
paroissien [paʁwasjê]
parole [paʁɔl]
paroxysme [paʁɔksism]
paroxystique [paʁɔksistik]
par [paʁ]
parquer [paʁke]
parquet [paʁkɛ]
parrainage [paʁɛnaʒ]
parrain [paʁê]
parricide [paʁisid]
parsemer [paʁsəme]
partage [paʁtaʒ]
partager [paʁtaʒe]
partance [paʁtâs]
partant [paʁtâ]
partenaire [paʁtənɛʁ]
partenariat [paʁtənaʁja]
parterre [paʁtɛʁ]
partialité [paʁsjalite]
partial [paʁsjal]
participant [paʁtisipâ]
participatif [paʁtisipatif]
participation [paʁtisipasjô]
participe [paʁtisip]
participer [paʁtisipe]
particularisme [paʁtikylaʁism]
particularité [paʁtikylaʁite]
particule [paʁtikyl]
particulièrement [paʁtikyljɛʁmâ]
particulier [paʁtikylje]
partiellement [paʁsjɛlmâ]
partiel [paʁsjɛl]
parti [paʁti]
partir [paʁtiʁ]
partisan [paʁtizâ]
partition [paʁtisjô]
parton [paʁtô]
partout [paʁtu]
part [paʁ]
parure [paʁyʁ]
parution [paʁysjô]
parvenir [paʁvəniʁ]
parvenu [paʁvəny]
parvis [paʁvi]
pas [pa]
passablement [pasabləmâ]
passable [pasabl]
passage [pasaʒ]
passagèrement [pasaʒɛʁmâ]
passager [pasaʒe]
passant [pasâ]
passation [pasasjô]
passe [pas]
passé [pase]
passeport [paspɔʁ]
passerelle [pasʁɛl]
passer [pase]
passeur [pasœʁ]
passible [pasibl]
passif [pasif]
passim [pasim]
passionnant [pasjɔnâ]
passionnel [pasjɔnɛl]
passionnément [pasjɔnemâ]
passionné [pasjɔne]
passionner [pasjɔne]
passion [pasjô]
passivement [pasivmâ]
passivité [pasivite]
pastel [pastɛl]
pasteur [pastœʁ]
pastiche [pastiʃ]
pastoral [pastɔʁal]
patate [patat]
patenter [patâte]
patent [patâ]
pâte [pat]
pâté [pate]
paternalisme [patɛʁnalism]
paternaliste [patɛʁnalist]
paternel [patɛʁnɛl]
paternité [patɛʁnite]
pâter [pate]
pater [patɛʁ]
pathétique [patetik]
pathogène [patɔʒɛn]
pathogénie [patɔʒeni]
pathologie [patɔlɔʒi]
pathologique [patɔlɔʒik]
pathos [patos]
patiemment [pasjamâ]
patience [pasjâs]
patienter [pasjâte]
patient [pasjâ]
patio [pasjo,patjo]
pâtir [patiʁ]
pâtisserie [patisʁi]
pâtissier [patisje]
patois [patwa]
pat [pat]
pâtre [patʁ]
patriarcal [patʁijaʁkal]
patriarcat [patʁijaʁka]
patriarche [patʁijaʁʃ]
patriciat [patʁisja]
patricien [patʁisjê]
patrie [patʁi]
patrimoine [patʁimwan]
patrimonial [patʁimɔnjal]
patriote [patʁijɔt]
patriotique [patʁijɔtik]
patriotisme [patʁijɔtism]
patronage [patʁɔnaʒ]
patronal [patʁɔnal]
patronat [patʁɔna]
patron [patʁô]
patronyme [patʁɔnim]
patronymique [patʁɔnimik]
patrouille [patʁuj]
patrouiller [patʁuje]
patte [pat]
pattern [patɛʁn]
patter [pate]
pâturage [patyʁaʒ]
pâture [patyʁ]
pâturer [patyʁe]
Paul [pɔl]
paume [pom]
paumer [pome]
paupérisation [popeʁizasjô]
paupérisme [popeʁism]
paupière [popjɛʁ]
pause [poz]
pauser [poze]
pauvrement [povʁəmâ]
pauvre [povʁ]
pauvreté [povʁəte]
pavage [pavaʒ]
pavement [pavmâ]
pavé [pave]
paver [pave]
pavillon [pavijô]
pavois [pavwa]
pavot [pavo]
payable [pɛjabl]
payant [pɛjâ]
payement [pɛjmâ]
paye [pɛj]
payer [peje]
payeur [pɛjœʁ]
paysage [peizaʒ]
paysagiste [peizaʒist]
paysannerie [peizanʁi]
paysan [peizâ]
pays [pei]
péage [peaʒ]
peau [po]
pêche [pɛʃ]
péché [peʃe]
pécheresse [pɛʃʁɛs]
pêcherie [pɛʃʁi]
pécher [peʃe]
pêcher [peʃe]
pécheur [peʃœʁ]
pêcheur [pɛʃœʁ]
pectoral [pɛktɔʁal]
pécule [pekyl]
pécuniaire [pekynjɛʁ]
pédagogie [pedaɡɔʒi]
pédagogique [pedaɡɔʒik]
pédagogue [pedaɡɔɡ]
pédanterie [pedâtʁi]
pédantisme [pedâtism]
pédant [pedâ]
pédicule [pedikyl]
pédoncule [pedôkyl]
peigne [pɛɲ]
peigner [peɲe]
peindre [pêdʁ]
peine [pɛn]
peiner [pene]
peintre [pêtʁ]
peinture [pêtyʁ]
peinturer [pêtyʁe]
péjoratif [peʒɔʁatif]
pelage [pəlaʒ]
pèlerinage [pɛlʁinaʒ]
pèlerin [pɛlʁê]
pelisse [pəlis]
pelle [pɛl]
peller [pele]
pelleterie [pɛltʁi]
pellicule [pelikyl]
peloton [pəlɔtô]
pelouse [pəluz]
pelvien [pɛlvjê]
pénalité [penalite]
pénal [penal]
pence [pâs]
penchant [pâʃâ]
pencher [pâʃe]
pendage [pâdaʒ]
pendaison [pâdɛzô]
pendant [pâdâ]
pendre [pâdʁ]
pendule [pâdyl]
penduler [pâdyle]
pendu [pâdy]
pénéplaine [peneplɛn]
pénétrant [penetʁâ]
pénétration [penetʁasjô]
pénétrer [penetʁe]
péniblement [penibləmâ]
pénible [penibl]
péniche [peniʃ]
pénicilline [penisilin]
péninsule [penêsyl]
pénis [penis]
pénitence [penitâs]
pénitencier [penitâsje]
pénitentiaire [penitâsjɛʁ]
pénitent [penitâ]
pénombre [penôbʁ]
pensable [pâsabl]
pensant [pâsâ]
penser [pâse]
penseur [pâsœʁ]
pensif [pâsif]
pensionnaire [pâsjɔnɛʁ]
pensionnat [pâsjɔna]
pension [pâsjô]
pente [pât]
pénurie [penyʁi]
pépinière [pepinjɛʁ]
pepsine [pɛpsin]
perçant [pɛʁsâ]
percement [pɛʁsəmâ]
perce [pɛʁs]
percepteur [pɛʁsɛptœʁ]
perceptible [pɛʁsɛptibl]
perceptif [pɛʁsɛptif]
perception [pɛʁsɛpsjô]
percer [pɛʁse]
percevoir [pɛʁsəvwaʁ]
perche [pɛʁʃ]
percher [pɛʁʃe]
perchlorure [pɛʁklɔʁyʁ]
percussion [pɛʁkysjô]
perdant [pɛʁdâ]
perdition [pɛʁdisjô]
perdre [pɛʁdʁ]
perdrix [pɛʁdʁi]
perdu [pɛʁdy]
perdurer [pɛʁdyʁe]
pérégrination [peʁeɡʁinasjô]
péremption [peʁâpsjô]
péremptoirement [peʁâptwaʁmâ]
péremptoire [peʁâptwaʁ]
pérennité [peʁenite]
père [pɛʁ]
péréquation [peʁekwasjô]
perfectibilité [pɛʁfɛktibilite]
perfectible [pɛʁfɛktibl]
perfectionnement [pɛʁfɛksjɔnmâ]
perfectionner [pɛʁfɛksjɔne]
perfection [pɛʁfɛksjô]
perfide [pɛʁfid]
perfidie [pɛʁfidi]
perforation [pɛʁfɔʁasjô]
perforer [pɛʁfɔʁe]
performance [pɛʁfɔʁmâs]
performant [pɛʁfɔʁmâ]
perfusion [pɛʁfyzjô]
péricarde [peʁikaʁd]
périlleux [peʁijø]
péril [peʁil]
périmer [peʁime]
périmètre [peʁimɛtʁ]
périnée [peʁine]
période [peʁjɔd]
périodicité [peʁjɔdisite]
périodiquement [peʁjɔdikmâ]
périodique [peʁjɔdik]
périodisation [peʁjɔdizasjô]
périoste [peʁjɔst]
péri [peʁi]
péripétie [peʁipesi]
périphérie [peʁifeʁi]
périphérique [peʁifeʁik]
périple [peʁipl]
périr [peʁiʁ]
périssable [peʁisabl]
péristyle [peʁistil]
péritoine [peʁitwan]
péritonéal [peʁitɔneal]
péritonite [peʁitɔnit]
perle [pɛʁl]
perler [pɛʁle]
permanence [pɛʁmanâs]
permanenter [pɛʁmanâte]
permanent [pɛʁmanâ]
permanganate [pɛʁmâɡanat]
perméabilité [pɛʁmeabilite]
perméable [pɛʁmeabl]
permettre [pɛʁmɛtʁ]
permis [pɛʁmi]
permission [pɛʁmisjô]
permutation [pɛʁmytasjô]
pernicieux [pɛʁnisjø]
péroné [peʁɔne]
péroraison [peʁɔʁɛzô]
peroxyde [pɛʁɔksid]
perpendiculairement [pɛʁpâdikylɛʁmâ]
perpendiculaire [pɛʁpâdikylɛʁ]
perpétrer [pɛʁpetʁe]
perpétuation [pɛʁpetɥasjô]
perpétuellement [pɛʁpetɥɛlmâ]
perpétuel [pɛʁpetɥɛl]
perpétuer [pɛʁpetɥe]
perpétuité [pɛʁpetɥite]
perplexe [pɛʁplɛks]
perplexité [pɛʁplɛksite]
perquisition [pɛʁkizisjô]
perron [peʁô]
perroquet [peʁɔkɛ]
perruque [peʁyk]
perruquier [peʁykje]
persan [pɛʁsâ]
persécuté [pɛʁsekyte]
persécuter [pɛʁsekyte]
persécuteur [pɛʁsekytœʁ]
persécution [pɛʁsekysjô]
perse [pɛʁs]
persévérance [pɛʁseveʁâs]
persévérant [pɛʁseveʁâ]
persévérer [pɛʁseveʁe]
persil [pɛʁsi,pɛʁsil]
persistance [pɛʁsistâs]
persistant [pɛʁsistâ]
persister [pɛʁsiste]
personnage [pɛʁsɔnaʒ]
personnalisation [pɛʁsɔnalizasjô]
personnaliser [pɛʁsɔnalize]
personnalisme [pɛʁsɔnalism]
personnaliste [pɛʁsɔnalist]
personnalité [pɛʁsɔnalite]
personnellement [pɛʁsɔnɛlmâ]
personnel [pɛʁsɔnɛl]
personne [pɛʁsɔn]
personnification [pɛʁsɔnifikasjô]
personnifier [pɛʁsɔnifje]
pers [pɛʁ]
perspectif [pɛʁspɛktif]
perspicace [pɛʁspikas]
perspicacité [pɛʁspikasite]
persuader [pɛʁsɥade]
persuasif [pɛʁsɥazif]
persuasion [pɛʁsɥazjô]
perte [pɛʁt]
pertinemment [pɛʁtinamâ]
pertinence [pɛʁtinâs]
pertinent [pɛʁtinâ]
pertuis [pɛʁtɥi]
perturbateur [pɛʁtyʁbatœʁ]
perturbation [pɛʁtyʁbasjô]
perturber [pɛʁtyʁbe]
péruvien [peʁyvjê]
perversion [pɛʁvɛʁsjô]
perversité [pɛʁvɛʁsite]
pervers [pɛʁvɛʁ]
pervertir [pɛʁvɛʁtiʁ]
pesage [pəzaʒ]
pesamment [pəzamâ]
pesanteur [pəzâtœʁ]
pesant [pəzâ]
peser [pəze]
peseta [peseta,pezeta]
peso [peso,pezo]
pessimisme [pesimism]
pessimiste [pesimist]
peste [pɛst]
pester [pɛste]
pesticide [pɛstisid]
pétale [petal]
pétard [petaʁ]
pétiole [pesjɔl,petjɔl]
petitesse [pətitɛs]
pétitionnaire [petisjɔnɛʁ]
pétition [petisjô]
petit [pəti]
pet [pɛ]
pétrifier [petʁifje]
pétrir [petʁiʁ]
pétrole [petʁɔl]
pétrolier [petʁɔlje]
peul [pøl]
peuplade [pœplad]
peuplement [pœpləmâ]
peuple [pœpl]
peupler [pœple]
peuplier [pœplije]
peu [pø]
peureux [pøʁø]
peur [pœʁ]
peut-être [pøtɛtʁ]
phalange [falâʒ]
phallique [falik]
phallus [falys]
pharaon [faʁaô]
pharaonique [faʁaɔnik]
phare [faʁ]
pharisien [faʁizjê]
pharmaceutique [faʁmasøtik]
pharmacie [faʁmasi]
pharmacien [faʁmasjê]
pharmacopée [faʁmakɔpe]
pharynx [faʁêks]
phase [faz]
phaser [faze]
phénicien [fenisjê]
phénique [fenik]
phénix [feniks]
phénol [fenɔl]
phénoménal [fenɔmenal]
phénomène [fenɔmɛn]
phénoménologie [fenɔmenɔlɔʒi]
phénoménologique [fenɔmenɔlɔʒik]
phénotype [fenɔtip]
phi [fi]
philanthrope [filâtʁɔp]
philanthropie [filâtʁɔpi]
philanthropique [filâtʁɔpik]
philo [filo]
philologie [filɔlɔʒi]
philologique [filɔlɔʒik]
philologue [filɔlɔɡ]
philosophal [filɔzɔfal]
philosophe [filɔzɔf]
philosopher [filɔzɔfe]
philosophie [filɔzɔfi]
philosophique [filɔzɔfik]
philosophiquement [filɔzɔfikmâ]
phlébite [flebit]
phlegmasie [flɛɡmazi]
phlegmon [flɛɡmô]
phobie [fɔbi]
phonation [fɔnasjô]
phonème [fɔnɛm]
phonétique [fɔnetik]
phonique [fɔnik]
phonographe [fɔnɔɡʁaf]
phonologie [fɔnɔlɔʒi]
phonologique [fɔnɔlɔʒik]
phoque [fɔk]
phosphate [fɔsfat]
phosphater [fɔsfate]
phosphore [fɔsfɔʁ]
phosphorer [fɔsfɔʁe]
phosphorescence [fɔsfɔʁesâs]
phosphorique [fɔsfɔʁik]
phot [fɔt]
photo [fɔto]
photographe [fɔtɔɡʁaf]
photographie [fɔtɔɡʁafi]
photographier [fɔtɔɡʁafje]
photographique [fɔtɔɡʁafik]
photon [fɔtô]
photosynthèse [fɔtosêtɛz]
phrase [fʁaz]
phraséologie [fʁazeɔlɔʒi]
phraser [fʁaze]
phréatique [fʁeatik]
phrygien [fʁiʒjê]
phtisie [ftizi]
phylloxéra [filɔkseʁa]
physicien [fizisjê]
physiocrate [fizjɔkʁat]
physiologie [fizjɔlɔʒi]
physiologique [fizjɔlɔʒik]
physiologiquement [fizjɔlɔʒikmâ]
physiologiste [fizjɔlɔʒist]
physionomie [fizjɔnɔmi]
physique [fizik]
physiquement [fizikmâ]
pianiste [pjanist]
piano [pjano]
piastre [pjastʁ]
picard [pikaʁ]
picaresque [pikaʁɛsk]
pic [pik]
pictural [piktyʁal]
pièce [pjɛs]
piédestal [pjedɛstal]
pied [pje]
piège [pjɛʒ]
piéger [pjeʒe]
piémontais [pjemôtɛ]
pie [pi]
pierre [pjɛʁ]
pierreries [pjɛʁʁi]
pierrer [pjeʁe]
pierreux [pjɛʁø]
piété [pjete]
piéter [pjete]
piétinement [pjetinmâ]
piétiner [pjetine]
piéton [pjetô]
piètre [pjɛtʁ]
pieu [pjø]
pieusement [pjøzmâ]
pieux [pjø]
pigeon [piʒô]
piger [piʒe]
pigmentation [piɡmâtasjô]
pigment [piɡmâ]
pignon [piɲô]
pilastre [pilastʁ]
pile [pil]
piler [pile]
pilier [pilje]
pillage [pijaʒ]
pillard [pijaʁ]
piller [pije]
pilon [pilô]
pilori [pilɔʁi]
pilotage [pilɔtaʒ]
pilote [pilɔt]
piloter [pilɔte]
pilotis [pilɔti]
pilule [pilyl]
piluler [pilyle]
pinceau [pêso]
pincement [pêsmâ]
pince [pês]
pincer [pêse]
pin [pê]
pioche [pjɔʃ]
pionnier [pjɔnje]
pion [pjô]
pipe [pip]
piper [pipe]
pipette [pipɛt]
pi [pi]
piquant [pikâ]
pique [pik]
piqué [pike]
piquer [pike]
piquet [pikɛ]
piqûre [pikyʁ]
pirate [piʁat]
piraterie [piʁatʁi]
pirater [piʁate]
pire [piʁ]
pirogue [piʁɔɡ]
pisciculture [pisikyltyʁ]
piscine [pisin]
pisé [pize]
pis [pi]
piste [pist]
pister [piste]
pistil [pistil]
pistole [pistɔl]
pistolet [pistɔlɛ]
piston [pistô]
pitance [pitâs]
piteux [pitø]
pitié [pitje]
piton [pitô]
pitoyable [pitwajabl]
pittoresque [pitɔʁɛsk]
pituitaire [pitɥitɛʁ]
pivoter [pivɔte]
pivot [pivo]
placage [plakaʒ]
placard [plakaʁ]
placebo [plasebo]
placement [plasmâ]
placentaire [plasêtɛʁ]
placenta [plasêta]
place [plas]
placer [plase]
placet [plasɛ]
placide [plasid]
plafond [plafô]
plage [plaʒ]
plagiat [plaʒja]
plaider [plede]
plaideur [plɛdœʁ]
plaidoirie [plɛdwaʁi]
plaidoyer [plɛdwaje]
plaid [plɛ]
plaie [plɛ]
plaignant [plɛɲâ]
plaindre [plêdʁ]
plainer [plene]
plain [plê]
plaintif [plêtif]
plaire [plɛʁ]
plaisamment [plɛzamâ]
plaisance [plɛzâs]
plaisanterie [plɛzâtʁi]
plaisanter [plɛzâte]
plaisant [plɛzâ]
plaisir [pleziʁ]
planche [plâʃ]
plancher [plâʃe]
planchette [plâʃɛt]
planer [plane]
planétaire [planetɛʁ]
planète [planɛt]
planificateur [planifikatœʁ]
planification [planifikasjô]
planifier [planifje]
planning [planiŋ]
plan [plâ]
plantaire [plâtɛʁ]
plantation [plâtasjô]
planter [plâte]
planteur [plâtœʁ]
plant [plâ]
plaque [plak]
plaquer [plake]
plaquette [plakɛt]
plasma [plasma]
plasmatique [plasmatik]
plasticité [plastisite]
plastique [plastik]
plastiquer [plastike]
plastron [plastʁô]
platane [platan]
plateau [plato]
platine [platin]
platiner [platine]
platitude [platityd]
platonicien [platɔnisjê]
platonique [platɔnik]
platonisme [platɔnism]
plat [pla]
plâtre [platʁ]
plâtrer [platʁe]
plausible [plozibl]
plébéien [plebejê]
plèbe [plɛb]
plébiscite [plebisit]
plébisciter [plebisite]
pléiade [plejad]
pleinement [plɛnmâ]
plein [plê]
plénier [plenje]
plénipotentiaire [plenipɔtâsjɛʁ]
plénitude [plenityd]
pléthore [pletɔʁ]
pléthorique [pletɔʁik]
pleurant [plœʁâ]
pleurer [plœʁe]
pleurésie [plœʁezi,pløʁezi]
pleur [plœʁ]
pleuvoir [pløvwaʁ]
plèvre [plɛvʁ]
plexus [plɛksys]
pliant [plijâ]
plie [pli]
plier [plije]
pliocène [plijɔsɛn]
pli [pli]
plissement [plismâ]
plisser [plise]
plomb [plô]
plongeant [plôʒâ]
plonge [plôʒ]
plonger [plôʒe]
plongeur [plôʒœʁ]
ployer [plwaje]
pluie [plɥi]
plumage [plymaʒ]
plume [plym]
plumer [plyme]
plupart [plypaʁ]
pluralisme [plyʁalism]
pluraliste [plyʁalist]
pluralité [plyʁalite]
plural [plyʁal]
pluridisciplinaire [plyʁidisiplinɛʁ]
pluriel [plyʁjɛl]
plusieurs [plyzjœʁ]
plus [ply/ply,plys]
plutonium [plytɔnjɔm]
plutôt [plyto]
pluvial [plyvjal]
pluvieux [plyvjø]
pluviométrie [plyvjɔmetʁi]
pluviôse [plyvjoz]
pluviosité [plyvjozite]
pneumatique [pnømatik]
pneumogastrique [pnømoɡastʁik]
pneumonie [pnømɔni]
pneumothorax [pnømotɔʁaks]
pneu [pnø]
poche [pɔʃ]
pocher [pɔʃe]
pochette [pɔʃɛt]
podestat [pɔdɛsta]
podium [pɔdjɔm]
poêle [pwal]
poêler [pwale]
poème [pɔɛm]
poésie [pɔezi]
poète [pɔɛt]
poétesse [pɔetɛs]
poétiquement [pɔetikmâ]
poétique [pɔetik]
poids [pwa]
poignant [pwaɲâ]
poignard [pwaɲaʁ]
poignée [pwaɲe]
poignet [pwaɲɛ]
poil [pwal]
poinçon [pwêsô]
poindre [pwêdʁ]
poing [pwê]
pointage [pwêtaʒ]
pointer [pwête]
pointeur [pwêtœʁ]
pointillé [pwêtije]
pointiller [pwêtije]
point [pwê]
pointu [pwêty]
poire [pwaʁ]
poirier [pwaʁje]
poison [pwazô]
pois [pwa]
poisser [pwase]
poisson [pwasô]
poitrail [pwatʁaj]
poitrine [pwatʁin]
poivre [pwavʁ]
poivrer [pwavʁe]
poix [pwa]
polaire [pɔlɛʁ]
polarisation [pɔlaʁizasjô]
polariser [pɔlaʁize]
polarité [pɔlaʁite]
polémique [pɔlemik]
polémiquer [pɔlemike]
polémiste [pɔlemist]
pôle [pol]
police [pɔlis]
policer [pɔlise]
policier [pɔlisje]
poliment [pɔlimâ]
polir [pɔliʁ]
polissage [pɔlisaʒ]
politesse [pɔlitɛs]
politicien [pɔlitisjê]
politiquement [pɔlitikmâ]
politique [pɔlitik]
politiquer [pɔlitike]
politisation [pɔlitizasjô]
pollen [pɔlɛn]
pollution [pɔlysjô]
polonais [pɔlɔnɛ]
poltron [pɔltʁô]
polychrome [pɔlikʁom]
polyculture [pɔlikyltyʁ]
polygamie [pɔliɡami]
polygone [pɔliɡɔn]
polymérisation [pɔlimeʁizasjô]
polymorphe [pɔlimɔʁf]
polymorphisme [pɔlimɔʁfism]
polype [pɔlip]
polyphonie [pɔlifɔni]
polyphonique [pɔlifɔnik]
polysémie [pɔlisemi]
polytechnicien [pɔlitɛknisjê]
polytechnique [pɔlitɛknik]
polythéisme [pɔliteism]
polyvalence [pɔlivalâs]
polyvalent [pɔlivalâ]
pommade [pɔmad]
pommeau [pɔmo]
pomme [pɔm]
pommer [pɔme]
pommette [pɔmɛt]
pommier [pɔmje]
pompage [pôpaʒ]
pompe [pôp]
pomper [pôpe]
pompeusement [pôpøzmâ]
pompier [pôpje]
